Datetime (JST),Seller ID,Brand,Price Range,Pages,Platform,Mode,Output Path
2025/06/02 16:45:56,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:56:03,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:56:19,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:56:27,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 16:59:11,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:03:41,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:03:57,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:21:13,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:35:57,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:36:12,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
2025/06/02 17:37:54,ASOUBI77KWLWI,Nintendo,70-800,2,simple,au,D:/Dropbox/Amazon_analysis_project/data
